sample_number,elapsed_seconds,datetime,system_time,chronotick_time,chronotick_offset_ms,chronotick_uncertainty_ms,chronotick_confidence,chronotick_source,ntp_time,ntp_offset_ms,ntp_uncertainty_ms,ntp_server,has_ntp
97,960.4787127971649,2025-10-10T20:15:45.104015,1760145345.1040154,1760145345.4705908,366.6600286960602,1.0,0.95,cpu,1760145345.2624655,118.38531494140625,0.0,time.google.com,True
98,970.5345356464386,2025-10-10T20:15:55.159838,1760145355.159838,1760145355.3301187,171.95208370685577,1.0,0.95,cpu,,,,,False
99,980.5366594791412,2025-10-10T20:16:05.161963,1760145365.1619625,1760145365.3414612,181.07686936855316,1.0,0.95,cpu,,,,,False
100,990.5380036830902,2025-10-10T20:16:15.163306,1760145375.1633062,1760145375.357059,193.09692084789276,1.0,0.95,cpu,,,,,False
101,1000.5400655269623,2025-10-10T20:16:25.165368,1760145385.1653678,1760145385.3621397,196.3723748922348,1.0,0.95,cpu,,,,,False
102,1010.541951417923,2025-10-10T20:16:35.167254,1760145395.1672542,1760145395.3674219,199.13193583488464,1.0,0.95,cpu,,,,,False
103,1020.5437850952148,2025-10-10T20:16:45.169088,1760145405.1690876,1760145405.3684502,201.87708735466003,1.0,0.95,cpu,,,,,False
104,1030.545952796936,2025-10-10T20:16:55.171256,1760145415.1712556,1760145415.3781922,209.09373462200165,1.0,0.95,cpu,,,,,False
105,1040.5475969314575,2025-10-10T20:17:05.172900,1760145425.1728997,1760145425.3888452,218.24127435684204,1.0,0.95,cpu,,,,,False
106,1050.5493636131287,2025-10-10T20:17:15.174667,1760145435.1746666,1760145435.402729,229.92394864559174,1.0,0.95,cpu,,,,,False
107,1060.5505859851837,2025-10-10T20:17:25.175889,1760145445.1758885,1760145445.4150434,241.8234944343567,1.0,0.95,cpu,,,,,False
108,1070.5529644489288,2025-10-10T20:17:35.178267,1760145455.1782672,1760145455.4276624,250.79017877578735,1.0,0.95,cpu,,,,,False
109,1080.5556168556213,2025-10-10T20:17:45.180920,1760145465.1809201,1760145465.4395335,260.4767978191376,1.0,0.95,cpu,1760145465.3277545,116.92190170288086,0.0,time.google.com,True
110,1090.6026973724365,2025-10-10T20:17:55.228001,1760145475.2280009,1760145475.4958124,270.1835334300995,1.0,0.95,cpu,,,,,False
111,1100.6040918827057,2025-10-10T20:18:05.229395,1760145485.2293952,1760145485.5114665,285.31041741371155,1.0,0.95,cpu,,,,,False
112,1110.605776309967,2025-10-10T20:18:15.231079,1760145495.2310793,1760145495.5304,302.9082119464874,1.0,0.95,cpu,,,,,False
113,1120.60764336586,2025-10-10T20:18:25.232946,1760145505.2329464,1760145505.5535073,321.61396741867065,1.0,0.95,cpu,,,,,False
114,1130.6105017662048,2025-10-10T20:18:35.235804,1760145515.235804,1760145515.5804806,343.6779975891113,1.0,0.95,cpu,,,,,False
115,1140.6125457286835,2025-10-10T20:18:45.237848,1760145525.2378483,1760145525.6045213,368.8700199127197,1.0,0.95,cpu,,,,,False
