timestamp,elapsed_seconds,datetime,system_time,chronotick_time,chronotick_offset_ms,chronotick_uncertainty_ms,chronotick_confidence,chronotick_source,ntp_offset_ms,ntp_delay_ms,ntp_server,chronotick_error_vs_ntp_ms,system_error_vs_ntp_ms
1760606272.4708796,11760.550434350967,2025-10-16T04:17:52.470880,1760606272.4708796,1760606272.2072797,-263.5998725891113,1.0,0.95,cpu,,,,,
1760606282.473087,11770.552641868591,2025-10-16T04:18:02.473087,1760606282.473087,1760606282.1993415,-273.745596408844,1.0,0.95,cpu,,,,,
1760606292.4751291,11780.554683923721,2025-10-16T04:18:12.475129,1760606292.4751291,1760606292.188508,-286.62097454071045,1.0,0.95,cpu,,,,,
1760606302.4773033,11790.556858062744,2025-10-16T04:18:22.477303,1760606302.4773033,1760606302.1770701,-300.2331554889679,1.0,0.95,cpu,,,,,
1760606312.4783196,11800.557874441147,2025-10-16T04:18:32.478320,1760606312.4783196,1760606312.1673188,-311.00085377693176,1.0,0.95,cpu,,,,,
1760606322.4805322,11810.560086965561,2025-10-16T04:18:42.480532,1760606322.4805322,1760606322.1628826,-317.6495432853699,1.0,0.95,cpu,0.4382133483886719,65.66715240478516,pool.ntp.org,-318.09,-0.44
1760606332.5616028,11820.641157627106,2025-10-16T04:18:52.561603,1760606332.5616028,1760606332.437137,-124.46583062410355,1.0,0.95,cpu,,,,,
1760606342.5644753,11830.644030094147,2025-10-16T04:19:02.564475,1760606342.5644753,1760606342.3861728,-178.30252647399902,1.0,0.95,cpu,,,,,
1760606352.5664947,11840.646049499512,2025-10-16T04:19:12.566495,1760606352.5664947,1760606352.3501804,-216.31430089473724,1.0,0.95,cpu,,,,,
1760606362.5689094,11850.64846420288,2025-10-16T04:19:22.568909,1760606362.5689094,1760606362.3408194,-228.09000313282013,1.0,0.95,cpu,,,,,
1760606372.5710464,11860.650601148605,2025-10-16T04:19:32.571046,1760606372.5710464,1760606372.3416095,-229.4367551803589,1.0,0.95,cpu,,,,,
1760606382.573569,11870.65312385559,2025-10-16T04:19:42.573569,1760606382.573569,1760606382.3426614,-230.90755939483643,1.0,0.95,cpu,,,,,
1760606392.5757222,11880.655277013779,2025-10-16T04:19:52.575722,1760606392.5757222,1760606392.3462172,-229.50510680675507,1.0,0.95,cpu,,,,,
1760606402.5777194,11890.657274246216,2025-10-16T04:20:02.577719,1760606402.5777194,1760606402.3495858,-228.13370823860168,1.0,0.95,cpu,,,,,
1760606412.5799816,11900.659536361694,2025-10-16T04:20:12.579982,1760606412.5799816,1760606412.355273,-224.7086465358734,1.0,0.95,cpu,,,,,
1760606422.582288,11910.661842823029,2025-10-16T04:20:22.582288,1760606422.582288,1760606422.3640995,-218.18841993808746,1.0,0.95,cpu,1.2631416320800781,29.80327606201172,pool.ntp.org,-219.45,-1.26
1760606432.628107,11920.707661867142,2025-10-16T04:20:32.628107,1760606432.628107,1760606432.4250774,-203.0295729637146,1.0,0.95,cpu,,,,,
1760606442.630481,11930.710035800934,2025-10-16T04:20:42.630481,1760606442.630481,1760606442.4529767,-177.50442028045654,1.0,0.95,cpu,,,,,
1760606452.6327834,11940.712338209152,2025-10-16T04:20:52.632783,1760606452.6327834,1760606452.4792206,-153.56288850307465,1.0,0.95,cpu,,,,,
1760606462.6348555,11950.714410305023,2025-10-16T04:21:02.634856,1760606462.6348555,1760606462.5037906,-131.06484711170197,1.0,0.95,cpu,,,,,
1760606472.6375873,11960.717142105103,2025-10-16T04:21:12.637587,1760606472.6375873,1760606472.537353,-100.23432970046997,1.0,0.95,cpu,,,,,
1760606482.6398838,11970.719438552856,2025-10-16T04:21:22.639884,1760606482.6398838,1760606482.5719821,-67.90158152580261,1.0,0.95,cpu,,,,,
1760606492.6412973,11980.720852136612,2025-10-16T04:21:32.641297,1760606492.6412973,1760606492.6030917,-38.205504417419434,1.0,0.95,cpu,,,,,
1760606502.6433978,11990.722952604294,2025-10-16T04:21:42.643398,1760606502.6433978,1760606502.6293383,-14.059503562748432,1.0,0.95,cpu,,,,,
1760606512.6460366,12000.725591421127,2025-10-16T04:21:52.646037,1760606512.6460366,1760606512.6489978,2.9610637575387955,1.0,0.95,cpu,,,,,
1760606522.6482537,12010.727808475494,2025-10-16T04:22:02.648254,1760606522.6482537,1760606522.6638145,15.560947358608246,1.0,0.95,cpu,0.8111000061035156,58.77494812011719,pool.ntp.org,14.75,-0.81
1760606532.710667,12020.790221691132,2025-10-16T04:22:12.710667,1760606532.710667,1760606532.7402098,29.542967677116394,1.0,0.95,cpu,,,,,
1760606542.713065,12030.7926197052,2025-10-16T04:22:22.713065,1760606542.713065,1760606542.7511883,38.123466074466705,1.0,0.95,cpu,,,,,
1760606552.7170322,12040.796586990356,2025-10-16T04:22:32.717032,1760606552.7170322,1760606552.762191,45.15896365046501,1.0,0.95,cpu,,,,,
1760606562.719027,12050.798581838608,2025-10-16T04:22:42.719027,1760606562.719027,1760606562.7714076,52.38059163093567,1.0,0.95,cpu,,,,,
