event_id,sequence_number_coord,send_time_ns,send_time_iso,ntp_offset_ms_coord,ntp_timestamp_ns_coord,ct_offset_ms_coord,ct_timestamp_ns_coord,pattern_delay_ms,workers_sent,workers_failed,node_id,sequence_number_worker,receive_time_ns,coordinator_send_time_ns,ntp_offset_ms_worker,ntp_uncertainty_ms,ntp_timestamp_ns_worker,ct_offset_ms_worker,ct_drift_rate,ct_uncertainty_ms,ct_confidence,ct_source,ct_prediction_time,ct_timestamp_ns_worker,ct_lower_bound_ns,ct_upper_bound_ns,ct_latency_ns,ct_latency_ms,sys_latency_ns,sys_latency_ms,ct_violation,sys_violation
37,36,1761411693906026751,2025-10-25 17:01:33,-23.510217666625977,1761411693882516534,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,36,1761411693907081416,1761411693906016471,-23.630619049072266,5.0,1761411693883450797,1.005039547219547,5.555782987885696e-06,0.0159625069500179,0.9999106,cpu,1761411693.0,1761411693908086455,1761411693908038568,1761411693908134342,2069984,2.069984,1064945,1.064945,False,False
38,37,1761411694507661216,2025-10-25 17:01:34,-23.510217666625977,1761411694484150999,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,37,1761411694508703716,1761411694507651365,-23.630619049072266,5.0,1761411694485073097,1.0028262474103848,5.555782987885696e-06,0.0184921536856563,0.9999106,cpu,1761411694.0,1761411694509706542,1761411694509651066,1761411694509762018,2055177,2.055177,1052351,1.052351,False,False
39,38,1761411695109263655,2025-10-25 17:01:35,-23.510217666625977,1761411695085753438,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,38,1761411695110313087,1761411695109254083,-23.630619049072266,5.0,1761411695086682468,1.0006128747481189,5.555782987885696e-06,0.0089839659267454,0.9999102,cpu,1761411695.0,1761411695111313699,1761411695111286748,1761411695111340650,2059616,2.059616,1059004,1.059004,False,False
40,39,1761411695710853271,2025-10-25 17:01:35,-23.510217666625977,1761411695687343054,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,39,1761411695712304551,1761411695710843637,-23.630619049072266,5.0,1761411695688673932,1.0039574097351631,5.555782987885696e-06,0.0089839659267454,0.9999102,cpu,1761411695.0,1761411695713308508,1761411695713281557,1761411695713335459,2464871,2.464871,1460914,1.460914,False,False
41,40,1761411696312697931,2025-10-25 17:01:36,-23.510217666625977,1761411696289187714,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,40,1761411696314004136,1761411696312687666,-23.630619049072266,5.0,1761411696290373517,1.0017445390970114,5.555782987885696e-06,0.0101715158962178,0.9999102,cpu,1761411696.0,1761411696315005880,1761411696314975366,1761411696315036394,2318214,2.318214,1316470,1.31647,False,False
42,41,1761411696914335058,2025-10-25 17:01:36,-23.510217666625977,1761411696890824841,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,41,1761411696915504608,1761411696914325170,-23.630619049072266,5.0,1761411696891873989,1.0050863454041712,5.555782987885696e-06,0.0101715158962178,0.9999102,cpu,1761411696.0,1761411696916509694,1761411696916479180,1761411696916540208,2184524,2.184524,1179438,1.179438,False,False
43,42,1761411697515980396,2025-10-25 17:01:37,-23.510217666625977,1761411697492470179,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,42,1761411697517039870,1761411697515969597,-23.630619049072266,5.0,1761411697493409251,1.0028725607907187,5.555782987885696e-06,0.0128562423924449,0.9999102,cpu,1761411697.0,1761411697518042742,1761411697518004174,1761411697518081310,2073145,2.073145,1070273,1.070273,False,False
44,43,1761411698117596721,2025-10-25 17:01:38,-23.510217666625977,1761411698094086504,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,43,1761411698118637390,1761411698117587171,-23.630619049072266,5.0,1761411698095006771,1.0006591232229602,5.555782987885696e-06,0.0134306674226536,0.9999102,cpu,1761411698.0,1761411698119638049,1761411698119597757,1761411698119678341,2050878,2.050878,1050219,1.050219,False,False
45,44,1761411698719197949,2025-10-25 17:01:38,-23.510217666625977,1761411698695687732,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,44,1761411698720241035,1761411698719188293,-23.630619049072266,5.0,1761411698696610416,1.0040015030827365,5.555782987885696e-06,0.0134306674226536,0.9999102,cpu,1761411698.0,1761411698721245036,1761411698721204744,1761411698721285328,2056743,2.056743,1052742,1.052742,False,False
46,45,1761411699320795102,2025-10-25 17:01:39,-23.510217666625977,1761411699297284885,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,45,1761411699321845925,1761411699320785620,-23.630619049072266,5.0,1761411699298215306,1.0017881065776364,5.555782987885696e-06,0.0151542053572484,0.9999102,cpu,1761411699.0,1761411699322847713,1761411699322802251,1761411699322893175,2062093,2.062093,1060305,1.060305,False,False
47,46,1761411699922385479,2025-10-25 17:01:39,-23.510217666625977,1761411699898875262,,,600.0,"ares-comp-11:9000,ares-comp-12:9000",,comp12,46,1761411699923462443,1761411699922375612,-23.630619049072266,5.0,1761411699899831824,1.005130556641313,5.555782987885696e-06,0.0151542053572484,0.9999102,cpu,1761411699.0,1761411699924467573,1761411699924422111,1761411699924513035,2091961,2.091961,1086831,1.086831,False,False
